"filename", "language", "JavaScript", "PHP", "CSS", "HTML", "JSON", "SQL", "XML", "comment", "blank", "total"
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\account.html", "HTML", 0, 0, 0, 52, 0, 0, 0, 0, 7, 59
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\css\account.css", "CSS", 0, 0, 61, 0, 0, 0, 0, 0, 14, 75
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\css\chooseDate.css", "CSS", 0, 0, 29, 0, 0, 0, 0, 0, 8, 37
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\css\homepage.css", "CSS", 0, 0, 82, 0, 0, 0, 0, 2, 16, 100
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\css\mainStylesheet.css", "CSS", 0, 0, 58, 0, 0, 0, 0, 4, 15, 77
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\css\pay.css", "CSS", 0, 0, 28, 0, 0, 0, 0, 1, 6, 35
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\css\schedule.css", "CSS", 0, 0, 43, 0, 0, 0, 0, 0, 11, 54
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\css\signin.css", "CSS", 0, 0, 32, 0, 0, 0, 0, 0, 14, 46
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\css\signup.css", "CSS", 0, 0, 34, 0, 0, 0, 0, 0, 12, 46
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\css\statistics.css", "CSS", 0, 0, 28, 0, 0, 0, 0, 7, 6, 41
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\css\table.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 0, 10, 48
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\dev.html", "HTML", 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\dev.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\finish.html", "HTML", 0, 0, 0, 25, 0, 0, 0, 0, 10, 35
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\index.html", "HTML", 0, 0, 0, 61, 0, 0, 0, 1, 8, 70
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\package-lock.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\account-pages\account.html", "HTML", 0, 0, 0, 50, 0, 0, 0, 0, 7, 57
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\account-pages\signin.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 12, 50
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\account-pages\signup.html", "HTML", 0, 0, 0, 47, 0, 0, 0, 1, 12, 60
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\book-lesson\choose-date.html", "HTML", 0, 0, 0, 55, 0, 0, 0, 0, 3, 58
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\book-lesson\choose-hours.html", "HTML", 0, 0, 0, 29, 0, 0, 0, 0, 4, 33
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\book-lesson\pay.html", "HTML", 0, 0, 0, 33, 0, 0, 0, 3, 13, 49
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\book-lesson\signin.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 11, 49
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\book-lesson\signup.html", "HTML", 0, 0, 0, 47, 0, 0, 0, 0, 10, 57
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\contact-us.html", "HTML", 0, 0, 0, 38, 0, 0, 0, 0, 3, 41
"c:\Users\Johno\OneDrive\Bishop ramsey\Project\drive with ana\pages\redirect.html", "HTML", 0, 0, 0, 27, 0, 0, 0, 0, 5, 32
